sale_date,category,units_sold,daily_revenue
2016-09-15,health_beauty,3,134.97
2016-10-03,fashion_shoes,1,29.99
2016-10-03,furniture_decor,2,194.8
2016-10-03,sports_leisure,2,58.39
2016-10-03,toys,1,128.9
2016-10-03,watches_gifts,1,29.9
2016-10-04,air_conditioning,4,749.6899999999999
2016-10-04,auto,1,9.9
2016-10-04,baby,3,279.79
2016-10-04,bed_bath_table,2,159.8
2016-10-04,computers_accessories,1,71.0
2016-10-04,consoles_games,3,1932.47
2016-10-04,cool_stuff,2,178.9
2016-10-04,fixed_telephony,1,199.0
2016-10-04,furniture_decor,14,1075.89
2016-10-04,garden_tools,1,179.9
2016-10-04,health_beauty,10,741.0999999999999
2016-10-04,housewares,3,289.70000000000005
2016-10-04,office_furniture,1,86.99
2016-10-04,perfumery,7,1164.3000000000002
2016-10-04,sports_leisure,3,698.89
2016-10-04,telephony,1,19.99
2016-10-04,toys,5,708.5899999999999
2016-10-05,air_conditioning,4,599.6
2016-10-05,auto,3,354.89
2016-10-05,baby,1,329.99
2016-10-05,bed_bath_table,1,169.9
2016-10-05,computers_accessories,3,143.88
2016-10-05,consoles_games,1,629.9
2016-10-05,fashio_female_clothing,1,54.9
2016-10-05,fashion_male_clothing,1,24.9
2016-10-05,fixed_telephony,1,149.99
2016-10-05,furniture_decor,8,387.71000000000004
2016-10-05,health_beauty,3,121.84
2016-10-05,industry_commerce_and_business,1,89.9
2016-10-05,market_place,6,467.4
2016-10-05,office_furniture,1,86.99
2016-10-05,perfumery,3,559.7
2016-10-05,sports_leisure,1,649.0
2016-10-05,telephony,3,109.69999999999999
2016-10-05,toys,6,1239.58
2016-10-06,auto,1,499.99
2016-10-06,baby,2,199.8
2016-10-06,bed_bath_table,1,59.9
2016-10-06,computers_accessories,1,20.9
2016-10-06,cool_stuff,2,206.8
2016-10-06,electronics,1,107.99
2016-10-06,fashion_bags_accessories,4,163.7
2016-10-06,fixed_telephony,1,79.99
2016-10-06,furniture_decor,5,278.78000000000003
2016-10-06,garden_tools,1,139.99
2016-10-06,health_beauty,6,370.67
2016-10-06,housewares,2,399.8
2016-10-06,market_place,2,225.9
